stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
compare	1.vi. 相比，匹敌；比较，区别；比拟（常与to连用） 2.vt. 比拟，喻为；[语]构成 3.n. 比较 4.n. (Compare)人名；(意)孔帕雷 
Holocaust	1.n. 大屠杀；毁灭 
vaccine	1.n. 疫苗；牛痘苗 2.adj. 疫苗的；牛痘的 
proteins	1.n. [生化] 蛋白质（protein复数） 
spectacular	1.adj. 壮观的，惊人的；公开展示的 
chapter	1.n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期 2.vt. 把…分成章节 
strategies	1.n. 策略，战略（strategy的复数形式） 
Inflation	1.n. 膨胀；通货膨胀；夸张；自命不凡 
ranging	1.n. 排列；测距修正 2.v. 移动；排列（range的ing形式）；分类 
categories	1.n. 类别（category的复数）；分类 
interim	1.n. 过渡时期，中间时期；暂定 2.adj. 临时的，暂时的；中间的；间歇的 
hostage	1.n. 人质；抵押品 
borrowed	1.v. 借；模仿；采用（borrow的过去分词） 2.adj. 借来的；虚构的 
Barclays	1.n. 巴克莱银行（公司名，财富500强公司之一，总部所在地英国，主要经营银行） 
working-age	
factions	1.n. 派系（faction的复数）；内讧 
Algeria	1.n. 阿尔及利亚（北非国家） 
cheered	1.v. 欢呼（cheer的过去分词） 
quarterly	1.n. 季刊 2.adj. 季度的，按季度的；一年四次的 3.adv. 按季度，[农] 一季一次地；纵横四分地 4.n. (Quarterly)人名；(英)夸特利 
overwhelming	1.adj. 压倒性的；势不可挡的 2.v. 压倒；淹没（overwhelm的ing形式）；制服 
flee	1.vt. 逃跑，逃走；逃避 2.vi. 逃走；消失，消散 
grants	1.n. 补助金；津贴（grant的复数）；政府奖助 2.v. [专利] 授予；同意；承认（grant的第三人称单数） 3.n. (Grants)人名；(瑞典)格兰茨 
refugee	1.n. 难民，避难者；流亡者，逃亡者 
legally	1.adv. 合法地；法律上 
imposing	1.v. impose的ing形式 2.adj. （建筑物等）壮观的；威风的；（仪表）堂堂的；给人深刻印象的 
enjoying	1.享受 2.享有 3.欣赏（enjoy的现在分词） 
serves	1.（网球）发球（serve的名词复数） 2.为…服务 3.供应 4.对待 5.任（职）（ serve的第三人称单数 ） 
closest	1.adj. 最靠近的（close的最高级） 
compensate	1.vt. 补偿，赔偿；付报酬 2.vi. 补偿，赔偿；抵消 
temporarily	1.adv. 临时地，临时 
Elizabeth	1.n. 伊丽莎白（女子名） 
Wisconsin	1.n. 威斯康星州（美国州名） 
excuse	1.n. 借口；理由 2.vt. 原谅；为…申辩；给…免去 3.vi. 作为借口；请求宽恕；表示宽恕 
reveals	1.n. 暴露（reveal第三人称单数） 2.vt. 揭示（reveal第三人称单数） 
operates	1.v. 操作；运行；动手术（operate的第三人称单数） 
fraction	1.n. 分数；部分；小部分；稍微 
enthusiastic	1.adj. 热情的；热心的；狂热的 
dire	1.adj. 可怕的；悲惨的；极端的 
Nazis	1.n. 纳粹；纳粹党人（nazi的复数） 
implications	1.n. 蕴涵式；暗指，暗示；含蓄，含意；卷入（implication的复数） 
insisting	1.坚持 
threw	1.v. 抛（throw的过去式）；丢弃 
devolved	1.移交 
cultures	1.n. 文明，文化（culture复数） 
unexpectedly	1.adv. 出乎意料地，意外地 
regain	1.n. 收复；取回 2.vt. 恢复；重新获得；收回 3.vi. 上涨 
shortfall	1.n. 差额；缺少 
viable	1.adj. 可行的；能养活的；能生育的 
tightened	1.v. 拉紧；固定；加严（tighten的过去式形式）；使紧密 
undermining	1.n. 底蚀作用；潜挖；淘空；底切 2.v. 在…下挖坑道；暗中破坏；逐渐损害（undermine的ing形式） 3.adj. 潜挖的；底蚀的 
insiders	1.n. [劳经] 内部人员（insider的复数）；局内人 
likelihood	1.n. 可能性，可能 
fancy	1.n. 幻想；想像力；爱好 2.adj. 想象的；奇特的；昂贵的；精选的 3.vt. 想象；喜爱；设想；自负 4.vi. 幻想；想象 5.n. (Fancy)人名；(法)方西 
permit	1.n. 许可证，执照 2.vt. 许可；允许 3.vi. 许可；允许 
observation	1.n. 观察；监视；观察报告 
designers	1.n. [建] 设计师，[建] 设计者；设计器（designer的复数形式） 
traces	1.n. [法] 痕迹；遗迹（trace的复数） 2.v. [审计] 追溯；[计][电子] 跟踪；摹写（trace的三单形式） 
landed	1.v. 登陆，登岸（land的过去时和过去分词） 2.adj. 拥有土地的；陆地上的 
Mount	1.n. 山峰；底座；乘骑用马；攀，登；运载工具；底座 2.vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等） 3.vi. 爬；增加；上升 4.n. （英）芒特（人名） 5.v. 登上；骑上 
messy	1.adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的 
Fidesz	
Eduardo	1.n. 爱德华多（姓氏） 
likelier	1.可能的（likely的比较级） 
Industrial	1.n. 工业股票；工业工人 2.adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的 
deciding	1.v. 决定（decide的现在分词） 2.adj. 决定性的；无疑的 
ignoring	1.v. 忽略，忽视（ignore的现在分词） 
Protection	1.n. 保护；防卫；护照 
amnesty	1.n. 大赦，特赦 2.vt. 对…实行大赦 
Donald	1.n. 唐纳德（男子名） 
non-profit	1.adj. 非营利的 
mall	1.n. 购物商场；林荫路；铁圈球场 2.n. (Mall)人名；(英)玛尔(女子教名 Mary 的昵称)；(阿拉伯)迈勒；(尼)马尔 
disrupt	1.vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱 2.adj. 分裂的，中断的；分散的 
accountability	1.n. 有义务；有责任；可说明性 
Hugo	1.n. 雨果（男子名，等于Hugh） 
windfall	1.n. 意外之财；被风吹落的果子；意外的收获 
revenge	1.n. 报复；复仇 2.vt. 报复；替…报仇；洗雪 3.vi. 报仇；雪耻 
declaration	1.n. （纳税品等的）申报；宣布；公告；申诉书 
collaboration	1.n. 合作；勾结；通敌 
tighter	1.紧的（ tight的比较级 ） 
convenient	1.adj. 方便的；[废语]适当的；[口语]近便的；实用的 
stricter	1.严格的（ strict的比较级 ） 
owes	1.v. 亏欠；负债（owe的单三形式）；感恩 
Zimbabwe	1.n. 津巴布韦（国家名，位于非洲） 
Okinawa	1.n. 冲绳县（日本） 
Edinburgh	1.n. 爱丁堡（英国城市名） 
leap	1.n. 飞跃；跳跃 2.vt. 跳跃，跳过；使跃过 3.vi. 跳，跳跃 4.n. (Leap)人名；(法)莱亚 
Carnegie	1.n. 卡内基（姓氏） 
recruited	1.vt. 招聘，雇佣（recruit过去时形式）；招募 
classic	1.n. 名著；经典著作；大艺术家 2.adj. 经典的；古典的，传统的；最优秀的 
scratch	1.n. 擦伤；抓痕；刮擦声；乱写 2.vt. 抓；刮；挖出；乱涂 3.adj. 打草稿用的；凑合的；碰巧的 4.vi. 抓；搔；发刮擦声；勉强糊口；退出比赛 
gaps	1.n. 差异，缺口；缝隙（gap的复数形式） 2.v. 裂开；使豁裂（gap的第三人称单数形式） 
offence	1.n. 犯罪；违反；过错；攻击 
homeless	1.adj. 无家可归的 2.无家可归的人 3.无家可归 
Churchill	1.n. 邱吉尔（英国政治家及作家） 
belonging	1.n. 所有物；行李；附属物 
tactic	1.n. 策略，战略 2.adj. 按顺序的，依次排列的 
shell	1.n. 壳，贝壳；炮弹；外形 2.vt. 剥皮；炮轰 3.vi. 剥落；设定命令行解释器的位置 
architect	1.n. 建筑师 2.缔造者 
wheel	1.n. 车轮；方向盘；转动 2.vt. 转动；使变换方向；给…装轮子 3.vi. 旋转；突然转变方向；盘旋飞行 
Something	1.n. 重要的人；值得重视的事 2.adj. 大约；有点象 3.adv. 非常；有点；大约 4.pron. 某事；某物 
Rubio	1.n. (Rubio)人名；(意、葡)鲁比奥；(西)鲁维奥 
translated	1.n. 译本 2.v. 翻译（translate的过去分词） 
actor	1.n. 男演员；行动者；作用物 
robots	1.n. [自] 机器人（robot的复数形式） 
unwilling	1.adj. 不愿意的；不情愿的；勉强的 
Tiananmen	1.n. 天安门 
raid	1.n. 袭击；突袭；搜捕；抢劫 2.vt. 袭击，突袭 3.vi. 对…进行突然袭击 4.n. (Raid)人名；(阿拉伯)拉伊德 
travellers	1.n. 旅行者；钢领圈（traveller的复数） 
turbine	1.n. [动力] 涡轮；[动力] 涡轮机 
Sadly	1.adv. 悲哀地；悲痛地 
offspring	1.n. 后代，子孙；产物 
misery	1.n. 痛苦，悲惨；不幸；苦恼；穷困 2.n. (Misery)人名；(法)米斯里 
Fewer	1.adj. 较少的 2.int. 较少数 3.pron. 较少数 
doomed	1.adj. 注定的；命定的 2.v. 注定；宣判（doom的过去分词） 
veterans	1.n. 老兵；退伍军人（veteran的复数形式） 
existed	1.生存 2.存在 
overturned	1.v. 颠覆（overturn的过去式） 2.adj. 倾覆的，倒转的 
alter	1.vt. 改变，更改 2.vi. 改变；修改 3.n. (Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特 
Action	1.n. 行动；活动；功能；战斗；情节 2.n. (Action)人名；(英)埃克申 
Houston	1.n. 休斯顿（美国得克萨斯州港市） 
cosy	1.n. 保温罩 2.adj. 舒适的；惬意的 
Bloomberg	1.n. 彭博社；彭博资讯 
woo	1.vt. 追求；招致；向…求爱；恳求 2.vi. 求爱；恳求 
smuggling	1.n. 走私 2.v. 走私 3.偷运 
rows	1.n. 行（row的复数形式）；返回引用中的行数 2.v. 使列成一排（row的第三人称单数形式） 3.n. (Rows)人名；(英)罗斯 
hence	1.adv. 因此；今后 
earliest	1.n. 最早 2.adj. 早的；初期的 
Laos	1.n. 老挝 
Strategic	1.adj. 战略上的，战略的 
towers	1.n. [建] 塔；塔器；空中跳台（tower的复数） 2.n. (Towers)人名；(英)托尔斯 
extensive	1.adj. 广泛的；大量的；广阔的 
revealing	1.v. 揭示；展现（reveal的ing形式） 2.adj. 透露真情的；有启迪作用的；袒胸露肩的 
third-largest	
envoy	1.n. 使者；全权公使 
terminal	1.n. 末端；终点；终端机；极限 2.adj. 末端的；终点的；晚期的 
drove	1.n. 畜群；牛群、羊群等；移动的人群或大批的东西 2.(Drove)人名；德罗韦 3.v. 驾驶（drive的过去式） 
award	1.n. 奖品；判决 2.vt. 授予；判定 
filling	1.n. 填充；填料 2.v. 填满；遍及（fill的ing形式） 3.n. (Filling)人名；(瑞典)菲林 
decree	1.n. 法令；判决 2.vt. 命令；颁布；注定；判决 3.vi. 注定；发布命令 
blames	1.vt. 责备；归咎于 2.n. 责备；责任；过失 
acquisition	1.n. 获得物，获得 
Syrians	1.n. 叙利亚人（Syrian的复数） 
Clark	1.n. 克拉克（男子名） 2.n. (Clark)人名；(瑞典、葡、西、芬、斐、意、德、匈、英、土)克拉克 
dealings	1.n. 交易；来往 
removing	1.n. 消除；拆迁 2.v. 去除，移动（remove的分词形式） 
Lake	1.n. 湖；深红色颜料；胭脂红 2.vt. （使）血球溶解 3.vi. （使）血球溶解 4.n. (Lake)人名；(德、塞、瑞典)拉克；(英)莱克 
levy	1.n. 征收；征兵，征税 2.vt. 征收（税等）；征集（兵等） 3.vi. 征税；征兵 4.n. (Levy)人名；(西、意、葡、芬、法、瑞典)莱维；(英、以)利维 
Austria	1.n. 奥地利 
privileged	1.adj. 享有特权的；有特别恩典的 2.v. 给予…特权；免除（privilege的过去分词） 
panel	1.n. 仪表板；嵌板；座谈小组，全体陪审员 2.vt. 嵌镶板 3.n. (Panel)人名；(英、法)帕内尔 
Innovation	1.n. 创新，革新；新方法 
converted	1.v. 转变；改变信仰（convert的过去式和过去分词形式） 2.adj. 修改的；改变信仰的 
dioxide	1.n. 二氧化物 
brilliant	1.adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的 
ceremony	1.n. 典礼，仪式；礼节，礼仪；客套，虚礼 
American-led	
errors	1.n. 误差；错误；差错（error的复数） 
populism	1.n. 民粹主义，平民主义 
Civil	1.adj. 公民的；民间的；文职的；有礼貌的；根据民法的 2.n. (Civil)人名；(土)吉维尔；(法)西维尔 
Looking	1.adj. 有…相貌的；有…样子的 
steam	1.n. 蒸汽；精力 2.adj. 蒸汽的 3.vt. 蒸，散发；用蒸汽处理 4.vi. 蒸，冒水汽 
competent	1.adj. 胜任的；有能力的；能干的；足够的 
Tennessee	1.n. 田纳西州（美国州名） 
Ted	1.vt. 翻晒 
tastes	1.n. [食品] 味道，品味（taste的复数形式） 2.v. 体会，尝（taste的三单形式） 
boasted	1.v. v.有（引以为荣的事物）( boast的过去式和过去分词 )； 扬言 
sounded	1.vbl. 听起来 
assured	1.n. 被保险人 2.v. 保证；确实（assure的过去分词） 3.adj. 确定的；自信的 
Gujarat	1.n. 古吉拉特邦（印度西部的邦） 
rotten	1.adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的 2.adv. 非常 3.n. (Rotten)人名；(法、德)罗滕 
campaigned	1.vi. 作战；参加竞选；参加活动 2.n. 运动；活动；战役 
readily	1.adv. 容易地；乐意地；无困难地 
mount	1.n. 山峰；底座；乘骑用马；攀，登；运载工具；底座 2.vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等） 3.vi. 爬；增加；上升 4.n. （英）芒特（人名） 5.v. 登上；骑上 
finger	1.n. 手指；指针，指状物 2.vt. 伸出；用手指拨弄 3.vi. 用指触摸；拨弄 4.n. (Finger)人名；(英、德、捷)芬格；(俄)芬格尔 
confined	1.v. 限制（confine的过去式和过去分词） 2.adj. 狭窄的；幽禁的；有限制的；在分娩中的 
musical	1.n. 音乐片 2.adj. 音乐的；悦耳的 
accusations	1.n. 控告，指控；谴责 
endured	1.v. 忍耐（endure的过去式） 
patchy	1.adj. 不调和的；拼凑成的；有补丁的 
clusters	1.n. [植] 簇；丛（cluster的复数形式）；[计] 群集 
Tata	1.n. 散步；机关枪 2.n. (Tata)人名；(印、土、意)塔塔 3.int. 再见 
suited	1.v. 适合（suit的过去分词） 2.adj. 合适的 
transistors	1.n. [电子] 晶体管；晶体三极管（transistor的复数） 
Warner	1.n. 警告者；报警器 2.n. (Warner)人名；(英)沃纳；(德、瑞典)瓦尔纳 
institute	1.n. 学会，协会；学院 2.vt. 开始（调查）；制定；创立；提起（诉讼） 
Rockefeller	1.n. 洛克菲勒（姓氏） 
painted	1.v. 油漆（paint的过去式和过去分词） 2.adj. 描画的；着色的；刷上油漆的 3.n. (Painted)人名；(瑞典)帕因特德 
transparent	1.adj. 透明的；显然的；坦率的；易懂的 
Uribe	1.乌里韦 2.乌里韦 
haul	1.n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离 2.vt. 拖运；拖拉 3.vi. 拖，拉；改变主意；改变方向 4.n. (Haul)人名；(德)豪尔 
poured	1.n. 倾泻；流出；骤雨 2.vt. 灌，注；倒；倾泻；倾吐 3.vi. 倾泻；涌流；斟茶 4.n. (Pour)人名；(伊朗)普尔；(捷)保尔 
idle	1.adj. 闲置的；懒惰的；停顿的 2.vt. 虚度；使空转 3.vi. 无所事事；虚度；空转 
hearts	1.n. [解剖] 心；内心；中心；同情心；心形物（heart的复数） 2.v. 铭记；用心材支撑（heart的三单形式） 
disability	1.n. 残疾；无能；无资格；不利条件 
Thames	1.n. （伦敦的）泰晤士河 
peaked	1.v. 到达高点，消瘦，竖起（peak的过去式和过去分词形式） 2.adj. 尖的；消瘦的；有遮檐的 
priced	1.v. 给…定价（price的过去分词） 2.adj. [物价] 附有定价的 
initiatives	
signing	1.n. 签署；签字 2.v. 签字；写下；示意（sign的ing形式） 
terminal	1.n. 末端；终点；终端机；极限 2.adj. 末端的；终点的；晚期的 
inclined	1.v. 使…倾向（incline的过去分词） 2.adj. 趋向于…的 
Revolution	1.n. 革命；旋转；运行；循环 
Things	1.n. 事物（thing的复数形式）；用品；形势 
fastest-growing	
lean	1.n. 瘦肉；倾斜；倾斜度 2.adj. 瘦的；贫乏的，歉收的 3.vt. 使倾斜 4.vi. 倾斜；倚靠；倾向；依赖 5.n. (Lean)人名；(西)莱安；(柬)连；(英)利恩 
Sales	1.n. 销售（sale的复数）；销售额 2.adj. 销售的，售货的；有关销售的 3.n. (Sales)人名；(意、西、葡)萨莱斯；(法)萨勒；(英)塞尔斯 
Romania	1.n. 罗马尼亚（欧洲巴尔干半岛东北部国家） 
Matthew	1.n. 马太（耶稣12门徒之一）；马修（姓氏，男子名）；马太福音（新约第一卷） 
therapy	1.n. 治疗，疗法 
throwing	1.n. 投掷 2.v. 掷（throw的ing形式） 
assembled	1.v. 装配（assemble的过去分词）；集合 2.adj. 组合的；安装的 
excluded	1.v. 排除（exclude的过去式和过去分词）；驱逐；拒绝接纳 2.adj. 排除的 
Istanbul	1.n. 伊斯坦布尔（土耳其城市） 
Tibet	1.n. 西藏（中国一自治区） 
launching	1.n. 发射；下水；创设 2.v. 发射；发动；开始从事（launch的ing形式） 
speakers	1.n. [电子] 扬声器；发言者（speaker的复数）；演说家 
surrender	1.n. 投降；放弃；交出；屈服 2.vt. 使投降；放弃；交出；听任 3.vi. 投降；屈服；自首 
pressed	1.v. 压（press的过去式） 2.adj. 加压的；紧迫的 
shores	1.滨 
imprisoned	1.adj. 被封印，被囚禁的 
payroll	1.n. 工资单 
boon	1.n. 恩惠；福利；利益 2.adj. 愉快的；慷慨的 3.n. (Boon)人名；(英)布恩；(东南亚国家华语)文；(瑞典、德)博恩；(泰)汶 
ubiquitous	1.adj. 普遍存在的；无所不在的 
processing	1.v. 加工；[自] 处理；对…起诉（process的ing形式） 
viewed	1.n. 观察；视野；意见；风景 2.vt. 观察；考虑；查看 
predictable	1.adj. 可预言的 
obsessed	1.v. 着迷（obsess的过去式）；纠缠 2.adj. 着迷的；无法摆脱的 
Military	1.n. 军队；军人 2.adj. 军事的；军人的；适于战争的 
promotion	1.n. 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴 
flock	1.n. 群；棉束（等于floc） 2.vi. 聚集；成群而行 3.vt. 用棉束填满 4.n. (Flock)人名；(德、瑞典)弗洛克 
appealed	1.v. 呼吁（appeal的过去分词）；求助；诉请 
Bruce	1.n. 布鲁斯（男名） 
volunteer	1.n. 志愿者；志愿兵 2.adj. 志愿的 3.vt. 自愿 4.vi. 自愿 
slumped	1.adj. 下跌的；倒下的 2.v. 掉落（slump的过去分词形式） 
planted	1.vbl. 种植 
slavery	1.n. 奴役；奴隶制度；奴隶身分 
lock	1.n. 锁；水闸；刹车 2.vt. 锁，锁上；隐藏 3.vi. 锁；锁住；卡住 4.n. (Lock)人名；(英、丹、德、瑞典)洛克 
locations	1.n. 位置；地点（location的复数）；定位件 
treasury	1.n. 国库，金库；财政部；宝库 
bullying	1.n. 恃强欺弱的行为 2.v. 欺负（bully的现在分词） 
happily	1.adv. 快乐地；幸福地；幸运地；恰当地 
flower	1.n. 花；精华；开花植物 2.vt. 使开花；用花装饰 3.vi. 成熟，发育；开花；繁荣；旺盛 4.n. (Flower)人名；(英)弗劳尔 
deadly	1.adj. 致命的；非常的；死一般的 2.adv. 非常；如死一般地 
urge	1.n. 强烈的欲望，迫切要求；推动力 2.vi. 强烈要求 3.vt. 力劝，催促；驱策，推进 
undermine	1.vt. 破坏，渐渐破坏；挖掘地基 
capability	1.n. 才能，能力；性能，容量 
rebuild	1.vt. 重建；改造，重新组装；复原 2.vi. 重建 
strife	1.n. 冲突；争吵；不和 
harbour	1.n. 海港（等于harbor）；避难所 2.vt. 庇护；藏匿；入港停泊 3.vi. 藏匿；入港停泊；庇护 4.n. (Harbour)人名；(英)哈伯 
cater	1.vt. 投合，迎合；满足需要；提供饮食及服务 2.n. (Cater)人名；(英)凯特 
shorter	1.adj. 较短的；更短的；更矮的（short的比较级） 2.n. (Shorter)人名；(英)肖特 
recalled	1.vt. 召回；回想起，记起；取消 2.n. 召回；回忆；撤消 
theories	1.n. 理论（theory的复数形式） 
Prince	1.n. 王子，国君；亲王；贵族 2.n. (Prince)人名；(英、葡)普林斯；(法)普兰斯； 
maintenance	1.n. 维护，维修；保持；生活费用 
steep	1.n. 峭壁；浸渍 2.adj. 陡峭的；不合理的；夸大的；急剧升降的 3.vt. 泡；浸；使…充满 4.vi. 泡；沉浸 
Sony	1.n. 索尼（日本电子娱乐公司） 2.n. (Sony)人名；(中非、印尼)索尼 
engaging	1.v. 参加（engage的ing形式）；保证；雇用 2.adj. 迷人的 
Bulgaria	1.n. 保加利亚 
abound	1.vi. 富于；充满 
Lidl	
gravitational	1.adj. [力] 重力的，[力] 引力的 
Brian	1.n. 布莱恩（男子名） 
peculiar	1.n. 特权；特有财产 2.adj. 特殊的；独特的；奇怪的；罕见的 
absorb	1.vt. 吸收；吸引；承受；理解；使…全神贯注 
desk	1.n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架 2.adj. 书桌的；桌上用的；伏案做的 
vacuum	1.n. 真空；空间；真空吸尘器 2.adj. 真空的；利用真空的；产生真空的 3.vt. 用真空吸尘器清扫 
Pakistanis	1.n. 巴基斯坦人（Pakistani的复数） 
muscle	1.n. 肌肉；力量 2.vt. 加强；使劲搬动；使劲挤出 3.vi. 使劲行进 
territories	1.n. 地区；领土；边疆区（territory的复数） 
fractious	1.adj. 易怒的；倔强的，难以对待的 
youngest	1.n. 最小的儿子；年纪最小的人 2.adj. 最年轻的 
prolonged	1.adj. 延长的；拖延的；持续很久的 
concentration	1.n. 浓度；集中；浓缩；专心；集合 
cleaning	1.n. 清洗；清除；去污；大败 2.v. 清洁（clean的ing形式） 
redistribution	1.n. [经] 重新分配 
championed	1.n. 冠军；拥护者；战士 2.vt. 支持；拥护 3.adj. 优胜的；第一流的 4.n. (Champion)人名；(英)钱皮恩；(法)尚皮翁 
stir	1.n. 搅拌；轰动 2.vi. 搅动；传播；走动 3.vt. 搅拌；激起；惹起 
immunity	1.n. 免疫力；豁免权；免除 
invite	1.n. 邀请 2.vt. 邀请，招待；招致 
stiff	1.adj. 呆板的；坚硬的；严厉的；拘谨的 2.adv. 僵硬地；彻底地 3.n. 死尸；令人讨厌者；流通票据；劳动者 4.vt. 诈骗；失信 
submarine	1.n. 潜水艇；海底生物 2.adj. 海底的；水下的 3.vt. 用潜水艇攻击 4.vi. 在下疾行；在下滑动 
impunity	1.n. 不受惩罚；无患；[法] 免罚 
massacre	1.n. 大屠杀；惨败 2.vt. 残杀；彻底击败 3.n. (Massacre)人名；(法)马萨克尔 
lasted	1.vbl. 持续 
appearance	1.n. 外貌，外观；出现，露面 
clearing	1.n. 结算；空地；清扫 2.v. 澄清；放晴（clear的ing形式） 
withdrew	1.v. 收回（withdraw的过去式） 
traditions	1.传统 
Shias	
populous	1.adj. 人口稠密的；人口多的 
Kent	1.n. 肯特（英国东南部州名）；不列颠岛南部的古代盎格鲁所建的王国 
Consumers	1.n. [经][生态] 消费者，消耗者；用户，顾客（consumer的复数） 
buyer	1.n. 买主；采购员 2.n. (Buyer)人名；(英)拜尔；(法)比耶；(德)布耶尔 
licensing	1.v. 许可；批准（license的ing形式） 
Khan	1.n. 可汗（对最高统治者的尊称）；商队客店 2.n. (Khan)人名；(瑞典)卡恩；(老、柬)坎 
Reliance	1.n. 信赖；信心；受信赖的人或物 
metre	1.n. 米；公尺；韵律 2.n. (Metre)人名；(英)米特 
Baltimore	1.n. 巴尔的摩（美国一座港市） 
riches	1.n. 财富；富有；房地产（rich的复数） 2.n. (Riches)人名；(意)里凯斯；(英)里奇斯 
dose	1.n. 剂量；一剂，一服 2.vt. 给药；给…服药 3.vi. 服药 4.n. (Dose)人名；(德)多泽；(意、西、葡、塞)多塞；(英)多斯 
boundary	1.n. 边界；范围；分界线 
roof	1.n. 屋顶；最高处，顶部；最高限度 2.vt. 给…盖屋顶，覆盖 3.n. (Roof)人名；(英)鲁夫 
Palace	1.n. 宫殿；宅邸；豪华住宅 
belongs	1.v. 属于（belong的第三人称单数） 
hardware	1.n. 计算机硬件；五金器具 
responding	1.n. 反应 2.v. 反应；作答（respond的ing形式） 3.adj. 响应的 
successor	1.n. 继承者；后续的事物 
copper	1.n. 铜；铜币；警察 2.adj. 铜的 3.vt. 镀铜于 4.n. (Copper)人名；(英)科珀 
Larry	1.n. 拌浆锄；小车，[矿业] 斗底车 
fluid	1.n. 流体；液体 2.adj. 流动的；流畅的；不固定的 
Stockholm	1.n. 斯德哥尔摩（瑞典首都） 
fiercest	1.（尤指人或动物）凶猛的 2.（尤指动作或情感）强烈的 3.（天气或温度）恶劣的（fierce的最高级） 
midst	1.n. 当中，中间 2.prep. 在…中间（等于amidst） 
Aquino	1.阿基诺（人名） 
aligned	1.v. 结盟（align的过去式）；使成一直线 2.adj. 对齐的；均衡的 
heating	1.n. [热] 加热；[建] 供暖；暖气设备 2.v. [热] 加热（heat的现在分词） 3.adj. 加热的；供热的 
ordering	1.n. 订购；[计] 排序；[计] 定序 2.v. 订购（order的ing形式）；命令；指挥 
unrelated	1.adj. 无关的，不相干的 
devote	1.vt. 致力于；奉献 
Colombian	1.n. 哥伦比亚人 2.adj. 哥伦比亚的 
intrusive	1.adj. 侵入的；打扰的 
grades	1.n. 等级（grade的复数形式）；分数 2.v. 将…分等级；给…评成绩（grade的三单形式） 3.n. (Grades)人名；(葡)格拉德斯 
automation	1.n. 自动化；自动操作 
harassment	1.n. 骚扰；烦恼 
occasions	1.n. 场合；机会（occasion的复数）；理由 2.v. 致使；引起（occasion的第三人称单数） 
Haiti	1.n. 海地 
central-bank	
surviving	1.adj. 继续存在的；未死的；依然健在的 2.v. 生存（survive的ing形式） 
Jabhat	
bizarre	1.adj. 奇异的（指态度，容貌，款式等） 
passports	1.n. [法] 护照，通行证（passport复数形式） 
privatise	
unsustainable	1.adj. 无法支撑的；不可证实的；不能成立的 
Rosneft	1.n. 俄罗斯石油公司 
Austrian	1.n. 奥地利人 2.adj. 奥地利的；奥地利人的 
censorship	1.n. 审查制度；审查机构 
tyres	1.n. [橡胶] 轮胎；车胎（tyre的复数） 2.v. 给…装轮胎（tyre的三单形式） 
perilous	1.adj. 危险的，冒险的 
misleading	1.v. 给…带错路；把…引入歧途（mislead的ing形式） 2.adj. 令人误解的；引入歧途的 
robber	1.n. 强盗；盗贼 
Hamid	1.n. 哈米德（人名） 
high-profile	1.adj. 高调的；备受瞩目的；知名度高的 
hung	1.v. 悬挂；垂落（hang的过去式和过去分词） 2.n. (Hung)人名；(老)亨；(中)洪(普通话·威妥玛)；(朝)兴；(东南亚国家华语)勋 
indices	1.n. 目录（index的复数） 
physicists	1.n. 物理学家；机械唯物论者（physicist的复数） 
sulphur	1.n. 硫磺；硫磺色 2.vt. 使硫化；用硫磺处理 
queues	1.n. [数] 队列；行列（queue的复数形式） 2.v. [数] 排队（queue的第三人称单数） 
Teach	1.vt. 教；教授；教导 2.vi. 教授；讲授；当老师 3.n. (Teach)人名；(英)蒂奇 
Moore	1.n. 摩尔（男子名） 
candidacy	1.n. 候选资格；候选状态 
Dozens	1.n. 许多（dozen的复数） 
eroded	1.v. 侵蚀；损坏（erode的过去分词形式） 2.adj. 被侵蚀的，损坏了 
sanctioned	1.制裁 
vendors	1.n. 供应商，销售商（vendor的复数） 
disclosure	1.n. [审计] 披露；揭发；被揭发出来的事情 
Nisman	
heirs	1.n. [法] 继承人；继承者（heir的复数形式） 
martial	1.adj. 军事的；战争的；尚武的 2.n. (Martial)人名；(法)马夏尔 
cracks	1.n. [高分子] 裂缝，裂纹；龟裂（crack的复数形式）；板间间隙 2.v. 使破裂；砰地一声打开（crack的三单形式） 
well-off	1.adj. 富裕的；顺利的，走运的；繁荣昌盛的 
earners	1.n. 赚钱的人 
Herzog	1.赫尔佐克（人名） 
cafés	
mistrust	1.n. 不信任；怀疑 2.vt. 不信任；怀疑 3.vi. 不信任；怀疑 
derivatives	1.派生物 
spouses	1.配偶 
Colombians	1.n. 哥伦比亚人（Colombian的复数） 
